,accuracy,precision,recall,f1,roc_auc,training_time_seconds
Logistic Regression,0.8148318567506863,0.8254901244934467,0.5438735748304229,0.6557239179293844,0.8523472413611518,3.872321796952747
Decision Tree,0.9120913401547293,0.8645046432180147,0.8643382883532977,0.8644214577820544,0.9035014102176859,8.974127802997828
Random Forest,0.9336239705515348,0.9215821283757938,0.869245201327753,0.8946488915295778,0.9782505039505609,3834.623267263989
Support Vector Machine,0.8782131270277015,0.8580413793103449,0.7481599076345793,0.7993421052631579,0.9094126211477939,72.7176437600283
XGBoost,0.923103319191415,0.9125988759367194,0.8436282291817001,0.8767592430567708,0.9725717873295737,75.93941705598263
